name,rank,correct_name
Actinomyces marimammalium,species,Boudabousia marimammalium
Actinomyces meyeri,species,Schaalia meyeri
Actinomyces naeslundi,species,Actinomyces naeslundii
Actinomyces nasicola,species,Bowdeniella nasicola
Actinomyces naturae,species,Schaalia naturae
Actinomyces neuii,species,Winkia neuii
Actinomyces odontolyticus,species,Schaalia odontolytica
Actinomyces pyogenes,species,Trueperella pyogenes
Actinomyces pyogenes,species,Trueperella pyogenes
Actinomyces radingae,species,Schaalia radingae
Actinomyces suimastitidis,species,Schaalia suimastitidis
Actinomyces suis,species,Actinobaculum suis
Actinomyces tangfeifanii,species,Boudabousia tangfeifanii
Actinomyces turicensis,species,Schaalia turicensis
Actinomyces vaccimaxillae,species,Schaalia vaccimaxillae
Actinophytocola corallina,species,Actinophytocola corallinus
Actinoplanes armeniacus,species,Streptomyces armeniacus
Actinoplanes bogoriensis,species,Actinoplanes bogorensis
Actinoplanes caeruleus,species,Couchioplanes caeruleus
Actinoplanes capillaceus,species,Actinoplanes campanulatus
Actinoplanes digitatis,species,Actinoplanes digitatus
Actinoplanes minutisporangius,species,Cryptosporangium minutisporangium
Actinopolyspora iraqiensis,species,Saccharomonospora iraqiensis
Actinopycnidium caeruleum,species,Streptomyces violaceoruber
Actinopycnidium,genus,Streptomyces
Actinospongiicola halichondriae,species,Actinospongicola halichondriae
Actinospongiicola,genus,Actinospongicola
Actinosporangium violaceum,species,Streptomyces paradoxus
Actinosporangium violaceus,species,Streptomyces paradoxus
Actinosporangium vitaminophilum,species,Wenjunlia vitaminophila
Actinosporangium,genus,Streptomyces
Actinotalea suaedae,species,Pseudactinotalea suaedae
Actirhodobacter atriluteus,species,Qipengyuania atrilutea
Actirhodobacter,genus,Qipengyuania
Aedoeadaptatus coxii,species,Peptoniphilus coxii
Aedoeadaptatus ivorii,species,Peptoniphilus ivorii
Aedoeadaptatus nemausensis,species,Peptoniphilus nemausensis
Aequorivita aquimaris,species,Aequorivita aquimaris
Aequorivita aquimaris,species,Aequorivita aquimaris
Aequorivita todarodis,species,Aequorivita todarodis
Aeribacillus alveayuensis,species,Bacillus alveayuensis
Aeribacillus kexueae,species,Bacillus kexueae
Aerobium aerolatum,species,Aquamicrobium aerolatum
Aerobium,genus,Aquamicrobium
Aerococcus sanguicola,species,Aerococcus sanguinicola
Aerolutibacter daejeonensis,species,Lysobacter daejeonensis
Aerolutibacter ruishenii,species,Lysobacter ruishenii
Aerolutibacter,genus,Lysobacter
Aeromonas aquariorum,species,Aeromonas dhakensis
Aeromonas culicicola,species,Aeromonas veronii
Aeromonas finlandiensis,species,Aeromonas finlandensis
Aeromonas punctata,species,Aeromonas caviae
Aeromonas sharmana,species,Pseudaeromonas sharmana
Aeromonas trota,species,Aeromonas enteropelogenes
Aestuarierythrobacter aquiaggeris,species,Altererythrobacter aquiaggeris
Aestuarierythrobacter confluentis,species,Pontixanthobacter confluentis
Aestuarierythrobacter sediminis,species,Pontixanthobacter sediminis
Aestuarierythrobacter,genus,Altererythrobacter
Aestuariibacter aggregatus,species,Marisediminitalea aggregata
Aestuariibacter litoralis,species,Aliiglaciecola litoralis
Aestuariicella albida,species,Pseudomaricurvus albidus
Aestuariicella hydrocarbonica,species,Pseudomaricurvus hydrocarbonicus
Aestuariicella,genus,Pseudomaricurvus
Aestuariicola saemankumensis,species,Lutimonas saemankumensis
Aestuariicola,genus,Lutimonas
Aestuariisphingobium litorale,species,Chakrabartia godavariana
Aestuariisphingobium,genus,Chakrabartia
Aestuariivita atlantica,species,Pseudaestuariivita atlantica
Aestuarium zhoushanense,species,Marivivens donghaensis
Aestuarium,genus,Marivivens
Agrilutibacter niabensis,species,Lysobacter niabensis
Agrilutibacter terrestris,species,Lysobacter terrestris
Agrilutibacter,genus,Lysobacter
Agrinovosphingobium ipomoeae,species,Novosphingobium ipomoeae
Agrinovosphingobium,genus,Novosphingobium
Agrobacterium atlanticum,species,Ruegeria atlantica
Agrobacterium deltaense,species,Agrobacterium deltae
Agrobacterium ferrugineum,species,Pseudorhodobacter ferrugineus
Agrobacterium gelatinovorum,species,Ruegeria gelatinovorans
Agrobacterium meteori,species,Ruegeria meteori
Agrobacterium rhizogenes,species,Rhizobium rhizogenes
Agrobacterium stellulatum,species,Stappia stellulata
Agrobacterium vitis,species,Allorhizobium vitis
Agromonas oligotrophica,species,Bradyrhizobium oligotrophicum
Agromonas,genus,Bradyrhizobium
Agromyces hippuratus,species,Agromyces fucosus subsp. hippuratus
Agromyces rhizospherae,species,Agromyces rhizosphaerae
Ahrensia kieliense,species,Ahrensia kielensis
Albidoferax ferrireducens,species,Albidiferax ferrireducens
Albidoferax,genus,Albidiferax
Albidovulum xiamenense,species,Meinhardsimonia xiamenensis
Alcaligenes aestus,species,Halomonas aquamarina
Alcaligenes aquamarinus,species,Halomonas aquamarina
Alcaligenes cupidus,species,Halomonas cupida
Alcaligenes defragrans,species,Castellaniella defragrans
Alcaligenes denitrificans,species,Achromobacter denitrificans
Alcaligenes eutrophus,species,Wautersia eutropha
Alcaligenes latus,species,Azohydromonas lata
Alcaligenes pacificus,species,Halomonas pacifica
Alcaligenes pacifus,species,Halomonas pacifica
Alcaligenes paradoxus,species,Variovorax paradoxus
Alcaligenes parafaecalis,species,Alcaligenes faecalis subsp. parafaecalis
Alcaligenes phenolicus,species,Alcaligenes faecalis subsp. phenolicus
Alcaligenes piechaudii,species,Achromobacter piechaudii
Alcaligenes ruhlandii,species,Achromobacter ruhlandii
Alcaligenes venustus,species,Halomonas venusta
Alcaligenes xylosoxidans,species,Achromobacter xylosoxidans
Alcalilimnicola halodurans,species,Alkalilimnicola halodurans
Alcalilimnicola,genus,Alkalilimnicola
Algibacter aestuarii,species,Hyunsoonleella aestuarii
Algibacter alginicilyticus,species,Pseudalgibacter alginicilyticus
Algibacter alginolytica,species,Pseudalgibacter alginicilyticus
Algibacter onchidii,species,Cognatitamlana onchidii
Algibacter wandonensis,species,Algibacter lectus
Algicoccus marinus,species,Orrella marina
Algicoccus,genus,Orrella
Algoriphagus aquimaris,species,Algoriphagus formosus
Aliarcobacter butzleri,species,Arcobacter butzleri
Aliarcobacter cibarius,species,Arcobacter cibarius
Aliarcobacter cryaerophilus,species,Arcobacter cryaerophilus
Aliarcobacter faecis,species,Arcobacter faecis
Aliarcobacter lanthieri,species,Arcobacter lanthieri
Aliarcobacter skirrowii,species,Arcobacter skirrowii
Aliarcobacter thereius,species,Arcobacter thereius
Aliarcobacter trophiarum,species,Arcobacter trophiarum
Aliarcobacter vitoriensis,species,Arcobacter vitoriensis
Aliarcobacter,genus,Arcobacter
Alicyclobacillus consociatus,species,Effusibacillus consociatus
Alicyclobacillus pohliae,species,Effusibacillus pohliae
Aliifodinibius halophilus,species,Fodinibius halophilus
Aliifodinibius roseus,species,Fodinibius roseus
Aliifodinibius salicampi,species,Fodinibius salicampi
Aliifodinibius saliphilus,species,Fodinibius saliphilus
Aliifodinibius sediminis,species,Fodinibius sediminis
Aliifodinibius,genus,Fodinibius
Aliigemmobacter aestuarii,species,Gemmobacter aestuarii
Aliigemmobacter,genus,Gemmobacter
Aliiruegeria haliotis,species,Pseudoruegeria haliotis
Aliiruegeria lutimaris,species,Pseudoruegeria lutimaris
Aliiruegeria sabulilitoris,species,Pseudoruegeria sabulilitoris
Aliiruegeria,genus,Pseudoruegeria
Aliitabrizicola rongguiensis,species,Tabrizicola rongguiensis
Aliitabrizicola,genus,Tabrizicola
Alirhizobium cellulosilyticum,species,Aliirhizobium cellulosilyticum
Alirhizobium smilacinae,species,Aliirhizobium smilacinae
Alirhizobium,genus,Aliirhizobium
Alkalibacterium olivapovliticus,species,Alkalibacterium olivapovliticum
Alkalibacterium olivoapovliticus,species,Alkalibacterium olivapovliticum
Alkalicoccobacillus plakortidis,species,Shouchella oshimensis
Alkalihalobacillus akibai,species,Halalkalibacter akibai
Alkalihalobacillus alkalinitrilicus,species,Alkalihalobacterium alkalinitrilicum
Alkalihalobacillus alkalisediminis,species,Halalkalibacter alkalisediminis
Alkalihalobacillus berkeleyi,species,Pseudalkalibacillus berkeleyi
Alkalihalobacillus bogoriensis,species,Alkalihalobacterium bogoriense
Alkalihalobacillus caeni,species,Pseudalkalibacillus caeni
Alkalihalobacillus clausii,species,Shouchella clausii
Alkalihalobacillus decolorationis,species,Pseudalkalibacillus decolorationis
Alkalihalobacillus gibsonii,species,Alkalicoccobacillus gibsonii
Alkalihalobacillus haemicellulosilyticus,species,Halalkalibacter hemicellulosilyticus
Alkalihalobacillus haemicentroti,species,Alkalihalobacillus hemicentroti
Alkalihalobacillus halodurans,species,Halalkalibacterium halodurans
Alkalihalobacillus hemicellulosilyticus,species,Halalkalibacter hemicellulosilyticus
Alkalihalobacillus hunanensis,species,Shouchella hunanensis
Alkalihalobacillus hwajinpoensis,species,Pseudalkalibacillus hwajinpoensis
Alkalihalobacillus kiskunsagensis,species,Halalkalibacter kiskunsagensis
Alkalihalobacillus krulwichiae,species,Halalkalibacter krulwichiae
Alkalihalobacillus lehensis,species,Shouchella oshimensis
Alkalihalobacillus ligniniphilus,species,Halalkalibacterium ligniniphilum
Alkalihalobacillus lindianensis,species,Alkalihalophilus lindianensis
Alkalihalobacillus lonarensis,species,Shouchella lonarensis
Alkalihalobacillus macyae,species,Pseudalkalibacillus hwajinpoensis
Alkalihalobacillus marmarensis,species,Alkalihalophilus marmarensis
Alkalihalobacillus miscanthi,species,Shouchella miscanthi
Alkalihalobacillus murimartini,species,Alkalicoccobacillus murimartini
Alkalihalobacillus nanhaiisediminis,species,Halalkalibacter nanhaiisediminis
Alkalihalobacillus oceani,species,Halalkalibacter oceani
Alkalihalobacillus okhensis,species,Halalkalibacter okhensis
Alkalihalobacillus okuhidensis,species,Halalkalibacterium halodurans
Alkalihalobacillus oshimensis,species,Shouchella oshimensis
Alkalihalobacillus patagoniensis,species,Shouchella patagoniensis
Alkalihalobacillus plakortidis,species,Shouchella oshimensis
Alkalihalobacillus pseudofirmus,species,Alkalihalophilus pseudofirmus
Alkalihalobacillus rhizosphaerae,species,Shouchella clausii
Alkalihalobacillus shacheensis,species,Shouchella shacheensis
Alkalihalobacillus urbisdiaboli,species,Halalkalibacter urbisdiaboli
Alkalihalobacillus wakoensis,species,Halalkalibacter wakoensis
Alkalihalobacillus xiaoxiensis,species,Shouchella xiaoxiensis
Alkalihalobacterium alkalicellulosilyticus,species,Alkalihalobacterium alkalicellulosilyticum
Alkalimicrobium pacificum,species,Mameliella alba
Alkalimicrobium,genus,Mameliella
Alkaliphilus peptidofermentans,species,Alkaliphilus peptidifermentans
Alkalithermobacter thermoalcaliphilum,species,Alkalithermobacter thermoalcaliphilus
Allisonella histaminiformans,species,Dialister histaminiformans
Allisonella,genus,Dialister
Alloactinosynnema album,species,Actinokineospora alba
Alloactinosynnema iranicum,species,Actinokineospora iranica
Alloactinosynnema,genus,Actinokineospora
Alloalcanivorax balearicus,species,Alcanivorax balearicus
Alloalcanivorax dieselolei,species,Alcanivorax dieselolei
Alloalcanivorax gelatiniphagus,species,Alcanivorax gelatiniphagus
Alloalcanivorax marinus,species,Alcanivorax marinus
Alloalcanivorax mobilis,species,Alcanivorax mobilis
Alloalcanivorax profundimaris,species,Alcanivorax profundimaris
Alloalcanivorax venustensis,species,Alcanivorax venustensis
Alloalcanivorax xenomutans,species,Alcanivorax xenomutans
Alloalcanivorax,genus,Alcanivorax
Allobrachymonas chironomi,species,Brachymonas chironomi
Allobrachymonas denitrificans,species,Brachymonas denitrificans
Allobrachymonas wangyanguii,species,Brachymonas wangyanguii
Allobrachymonas,genus,Brachymonas
Allolucifera butyrica,species,Lucifera butyrica
Allolucifera,genus,Lucifera
Allomesorhizobium alhagi,species,Mesorhizobium alhagi
Allomesorhizobium camelthorni,species,Mesorhizobium camelthorni
Allomesorhizobium,genus,Mesorhizobium
Allomonas enterica,species,Vibrio fluvialis
Allomonas,genus,Vibrio
Allomuricauda abyssi,species,Flagellimonas abyssi
Allomuricauda aequoris,species,Flagellimonas aequoris
Allomuricauda algicola,species,Flagellimonas algicola
Allomuricauda alvinocaridis,species,Flagellimonas alvinocaridis
Allomuricauda amoyensis,species,Flagellimonas amoyensis
Allomuricauda amphidinii,species,Flagellimonas amphidinii
Allomuricauda antarctica,species,Flagellimonas taeanensis
Allomuricauda aquimarina,species,Flagellimonas marinaquae
Allomuricauda aurantiaca,species,Flagellimonas maritima
Allomuricauda aurea,species,Flagellimonas aurea
Allomuricauda beolgyonensis,species,Flagellimonas beolgyonensis
Allomuricauda chongwuensis,species,Flagellimonas chongwuensis
Allomuricauda eckloniae,species,Flagellimonas eckloniae
Allomuricauda flava,species,Flagellimonas flava
Allomuricauda flavescens,species,Flagellimonas flavescens
Allomuricauda hadalis,species,Flagellimonas hadalis
Allomuricauda hymeniacidonis,species,Flagellimonas allohymeniacidonis
Allomuricauda indica,species,Flagellimonas indica
Allomuricauda iocasae,species,Flagellimonas iocasae
Allomuricauda koreensis,species,Flagellimonas aquimarina
Allomuricauda lutaonensis,species,Flagellimonas lutaonensis
Allomuricauda lutea,species,Croceivirga lutea
Allomuricauda lutimaris,species,Flagellimonas lutimaris
Allomuricauda marina,species,Flagellimonas marina
Allomuricauda maritima,species,Flagellimonas pelagia
Allomuricauda nanhaiensis,species,Flagellimonas nanhaiensis
Allomuricauda oceanensis,species,Flagellimonas oceanensis
Allomuricauda oceani,species,Flagellimonas oceani
Allomuricauda ochracea,species,Flagellimonas ochracea
Allomuricauda olearia,species,Flagellimonas olearia
Allomuricauda onchidii,species,Flagellimonas onchidii
Allomuricauda pacifica,species,Flagellimonas meridianipacifica
Allomuricauda parva,species,Flagellimonas pacifica
Allomuricauda profundi,species,Flagellimonas profundi
Allomuricauda ruestringensis,species,Flagellimonas ruestringensis
Allomuricauda sediminis,species,Flagellimonas sediminis
Allomuricauda spongiicola,species,Flagellimonas spongiicola
Allomuricauda taeanensis,species,Flagellimonas taeanensis
Allomuricauda zhangzhouensis,species,Flagellimonas zhangzhouensis
Allomuricauda,genus,Flagellimonas
Allopontixanthobacter confluentis,species,Pontixanthobacter confluentis
Allopontixanthobacter sediminis,species,Pontixanthobacter sediminis
Allopontixanthobacter,genus,Pontixanthobacter
Allopseudarcicella aquatilis,species,Aquirufa nivalisilvae
Allopseudarcicella,genus,Aquirufa
Allopusillimonas soli,species,Pusillimonas soli
Allorhizobium pseudoryzae,species,Affinirhizobium pseudoryzae
Allorhodopirellula heiligendammensis,species,Rhodopirellula heiligendammensis
Allorhodopirellula solitaria,species,Rhodopirellula solitaria
Allorhodopirellula,genus,Rhodopirellula
Allosphingosinicella deserti,species,Sphingomonas deserti
Allosphingosinicella flava,species,Sphingosinicella flava
Allosphingosinicella ginsenosidimutans,species,Sphingosinicella ginsenosidimutans
Allosphingosinicella humi,species,Sphingosinicella humi
Allotamlana fucoidanivorans,species,Tamlana fucoidanivorans
Allotamlana,genus,Tamlana
Alteracholeplasma parvum,species,Acholeplasma parvum
Alteracholeplasma,genus,Acholeplasma
Alteraquisediminimonas sediminicola,species,Aquisediminimonas sediminicola
Alteraquisediminimonas,genus,Aquisediminimonas
Altererythrobacter aerius,species,Tsuneonella aeria
Altererythrobacter aerophilus,species,Pelagerythrobacter aerophilus
Altererythrobacter aestiaquae,species,Pontixanthobacter aestiaquae
Altererythrobacter aestuarii,species,Alteraurantiacibacter aestuarii
Altererythrobacter amylolyticus,species,Tsuneonella amylolytica
Altererythrobacter aquaemixtae,species,Pontixanthobacter aquaemixtae
Altererythrobacter aquimixticola,species,Alteraurantiacibacter aquimixticola
Altererythrobacter atlanticus,species,Croceibacterium atlanticum
Altererythrobacter aurantiacus,species,Qipengyuania lutea
Altererythrobacter buctense,species,Alteraurantiacibacter buctensis
Altererythrobacter buctensis,species,Alteraurantiacibacter buctensis
Altererythrobacter confluentis,species,Pontixanthobacter confluentis
Altererythrobacter deserti,species,Tsuneonella deserti
Altererythrobacter dongtanensis,species,Tsuneonella dongtanensis
Altererythrobacter endophyticus,species,Altericroceibacterium endophyticum
Altererythrobacter estronivorus,species,Caenibius estronivorus
Altererythrobacter flavus,species,Tsuneonella flava
Altererythrobacter fulvus,species,Fulverythrobacter fulvus
Altererythrobacter gangjinensis,species,Pontixanthobacter gangjinensis
Altererythrobacter halimionae,species,Alteriqipengyuania halimionae
Altererythrobacter indicus,species,Altericroceibacterium indicum
Altererythrobacter lauratis,species,Alteraurantiacibacter lauratis
Altererythrobacter luteolus,species,Pontixanthobacter luteolus
Altererythrobacter lutipelagi,species,Parerythrobacter lutipelagi
Altererythrobacter mangrovi,species,Tsuneonella mangrovi
Altererythrobacter marensis,species,Pelagerythrobacter marensis
Altererythrobacter marinus,species,Pelagerythrobacter marinus
Altererythrobacter maritimus,species,Alteripontixanthobacter maritimus
Altererythrobacter muriae,species,Alteripontixanthobacter muriae
Altererythrobacter namhicola,species,Paraurantiacibacter namhicola
Altererythrobacter oceanensis,species,Qipengyuania oceanensis
Altererythrobacter palmitatis,species,Alteraurantiacibacter palmitatis
Altererythrobacter rhizovicinus,species,Pelagerythrobacter rhizovicinus
Altererythrobacter rigui,species,Tsuneonella rigui
Altererythrobacter salegens,species,Croceibacterium salegens
Altererythrobacter sediminis,species,Pontixanthobacter sediminis
Altererythrobacter segetis,species,Croceibacterium segetis
Altererythrobacter soli,species,Croceibacterium soli
Altererythrobacter spongiae,species,Altericroceibacterium spongiae
Altererythrobacter troitsensis,species,Tsuneonella troitsensis
Altererythrobacter xinjiangensis,species,Altericroceibacterium xinjiangense
Altererythrobacter xixiisoli,species,Croceibacterium xixiisoli
Alterinovosphingobium aerophilum,species,Novosphingobium aerophilum
Alterinovosphingobium bradum,species,Novosphingobium bradum
Alterinovosphingobium flavum,species,Novosphingobium flavum
Alterinovosphingobium humi,species,Novosphingobium humi
Alterinovosphingobium ovatum,species,Novosphingobium ovatum
Alterinovosphingobium piscinae,species,Novosphingobium piscinae
Alterinovosphingobium rosa,species,Novosphingobium rosa
Alterinovosphingobium umbonatum,species,Novosphingobium umbonatum
Alterinovosphingobium,genus,Novosphingobium
Alterirhizorhabdus profundi,species,Sphingomonas profundi
Alterirhizorhabdus solaris,species,Sphingomonas solaris
Alterirhizorhabdus,genus,Sphingomonas
Alterisphingobium fluviale,species,Sphingobium fluviale
Alterisphingobium jiangsuense,species,Sphingobium jiangsuense
Alterisphingobium subterraneum,species,Sphingobium subterraneum
Alterisphingobium,genus,Sphingobium
Alterisphingomonas asaccharolytica,species,Sphingomonas asaccharolytica
Alterisphingomonas mali,species,Sphingomonas mali
Alterisphingomonas panacisoli,species,Sphingomonas panacisoli
Alterisphingomonas pruni,species,Sphingomonas pruni
Alterisphingomonas radiodurans,species,Sphingomonas radiodurans
Alterisphingomonas,genus,Sphingomonas
Alterisphingopyxis lacunae,species,Sphingomonas lacunae
Alterisphingopyxis,genus,Sphingomonas
Alterisphingorhabdus lutea,species,Sphingorhabdus lutea
Alteristakelama azotifigens,species,Sphingomonas azotifigens
Alteristakelama canadensis,species,Sphingomonas canadensis
Alteristakelama gei,species,Sphingomonas gei
Alteristakelama hengshuiensis,species,Sphingomonas hengshuiensis
Alteristakelama koreensis,species,Sphingomonas koreensis
Alteristakelama kyeonggiensis,species,Sphingomonas kyeonggiensis
Alteristakelama leidyi,species,Sphingomonas leidyi
Alteristakelama naasensis,species,Sphingomonas naasensis
Alteristakelama pituitosa,species,Sphingomonas pituitosa
Alteristakelama pokkalii,species,Sphingomonas pokkalii
Alteristakelama psychrotolerans,species,Sphingomonas psychrotolerans
Alteristakelama soli,species,Sphingomonas soli
Alteristakelama suaedae,species,Sphingomonas suaedae
Alteristakelama trueperi,species,Sphingomonas trueperi
Alteristakelama turrisvirgatae,species,Sphingomonas turrisvirgatae
Alteristakelama xinjiangensis,species,Sphingomonas xinjiangensis
Alteristakelama,genus,Sphingomonas
Alteriyabuuchia sanxanigenens,species,Sphingomonas sanxanigenens
Alteriyabuuchia zeicaulis,species,Sphingomonas zeicaulis
Alteriyabuuchia,genus,Sphingomonas
Alteromonas addita,species,Alteromonas stellipolaris
Alteromonas atlantica,species,Pseudoalteromonas atlantica
Alteromonas aurantia,species,Pseudoalteromonas aurantia
Alteromonas carrageenovora,species,Pseudoalteromonas carrageenovora
Alteromonas citrea,species,Pseudoalteromonas citrea
Alteromonas colwelliana,species,Shewanella colwelliana
Alteromonas communis,species,Marinomonas communis
Alteromonas denitrificans,species,Pseudoalteromonas denitrificans
Alteromonas distincta,species,Pseudoalteromonas distincta
Alteromonas elyakovii,species,Pseudoalteromonas distincta
Alteromonas espejiana,species,Pseudoalteromonas espejiana
Alteromonas fuliginea,species,Pseudoalteromonas fuliginea
Alteromonas haloplanktis,species,Pseudoalteromonas haloplanktis
Alteromonas hanedai,species,Shewanella hanedai
Alteromonas indica,species,Alteromonas alterisediminis
